PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-05-21,19:10:41.75,1,1,"Sharts, Owen",680714,Right,IDA_CHU,1000092665,Left,MIS_PAD,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.45289,0.220589,-1.652553,1921.640155,180.508819,12:00,5.96313,1.74646,6.07665,-19.61009,17.06934,0.14024,4.53314,0.22872,78.94879,-3.53276,-1.627321,0.435896,,,,,,,,,,,,-0.58476,9.063,-1.61876,50,5.96965,3.65342,-126.84053,-0.05426,-0.94187,28.67812,-17.57593,IDA_CHU,MIS_PAD,MelaleucaField,Pioneer League,PIO,20240521-MelaleucaField-1,1c18d920-17d8-11ef-ab2f-7369b7622ec5,86.47119,,,8.5041,,,,,,,6933e1d9-9ce5-4c01-8d2b-ec83379e44c8,2024-05-22,01:10:41.75,2024-05-21T19:10:41.7590000-06:00,2024-05-22T01:10:41.7590000Z,,v3,444,518,,"Barham, Robbie",,Undefined,IDA_CHU,034a05a2-aee4-4ccc-9d1e-0fdf9b8b2bbc,54.41498,-127.83484,14.33906,5.96096,0.55513,-8.78796,-1.74599,3.68608,-0.47094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-05-21,19:10:53.85,1,2,"Sharts, Owen",680714,Right,IDA_CHU,1000092665,Left,MIS_PAD,Undefined,1,Top,0,1,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.62367,0.359542,-1.757962,2039.657323,174.055772,11:45,5.89864,1.84213,6.12326,-21.63722,15.16989,-1.46284,4.42806,0.09463,79.3094,-3.731252,-2.021392,0.436654,,,,,,,,,,,,0.27469,8.07272,-1.70694,50,5.91474,3.92174,-125.84348,0.16054,0.44167,24.88426,-19.19313,IDA_CHU,MIS_PAD,MelaleucaField,Pioneer League,PIO,20240521-MelaleucaField-1,235f7d10-17d8-11ef-ab2f-7369b7622ec5,86.32114,,,7.31427,,,,,,,6933e1d9-9ce5-4c01-8d2b-ec83379e44c8,2024-05-22,01:10:53.85,2024-05-21T19:10:53.8590000-06:00,2024-05-22T01:10:53.8590000Z,,v3,444,518,,"Barham, Robbie",,Undefined,IDA_CHU,344421c5-3510-4924-b875-7c23dcee078b,54.37194,-126.70504,12.44213,5.89768,0.82505,-9.59657,-1.84245,3.90644,0.22083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-05-21,19:11:08.12,1,3,"Sharts, Owen",680714,Right,IDA_CHU,1000092665,Left,MIS_PAD,Undefined,1,Top,0,2,0,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.6201,-1.146213,-2.554749,1902.743969,110.034962,9:45,5.83526,1.71096,6.0233,-37.36183,2.68473,-3.74772,1.659,-0.96903,76.48137,-8.043339,-3.228967,0.455464,,,,,,,,,,,,1.17362,2.08827,-1.50892,50,5.72516,5.55701,-121.33967,-3.63239,1.73599,25.485,-29.08512,IDA_CHU,MIS_PAD,MelaleucaField,Pioneer League,PIO,20240521-MelaleucaField-1,2bfa6660-17d8-11ef-ab2f-7369b7622ec5,82.75613,,,7.13873,,,,,,,6933e1d9-9ce5-4c01-8d2b-ec83379e44c8,2024-05-22,01:11:08.12,2024-05-21T19:11:08.1210000-06:00,2024-05-22T01:11:08.1210000Z,,v3,444,518,,"Barham, Robbie",,Undefined,IDA_CHU,0df36a17-625e-4b04-b1a6-4c8c541010ef,54.47455,-122.27585,12.7425,5.83897,-2.56396,-14.54256,-1.71189,5.49324,0.868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-05-21,19:11:21.90,1,4,"Sharts, Owen",680714,Right,IDA_CHU,1000092665,Left,MIS_PAD,Undefined,1,Top,0,3,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.73408,-1.480432,-1.470709,1776.78382,181.000381,12:00,5.84783,1.85353,6.24591,-19.86662,16.64328,0.2711,2.82616,0.51943,79.63548,-5.24595,-1.421739,0.434887,,,,,,,,,,,,-0.53331,9.37166,-1.7443,50,5.72771,3.22498,-126.02839,-3.80971,-0.86092,24.73089,-17.04587,IDA_CHU,MIS_PAD,MelaleucaField,Pioneer League,PIO,20240521-MelaleucaField-1,3438b0c0-17d8-11ef-ab2f-7369b7622ec5,86.67175,,,7.0986,,,,,,,6933e1d9-9ce5-4c01-8d2b-ec83379e44c8,2024-05-22,01:11:21.90,2024-05-21T19:11:21.9020000-06:00,2024-05-22T01:11:21.9020000Z,,v3,444,518,,"Barham, Robbie",,Undefined,IDA_CHU,9d65a6bb-9bd8-4c50-a82b-1e43ad680378,54.24999,-126.85964,12.36544,5.84613,-3.23677,-8.52294,-1.85319,3.25391,-0.43046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-05-21,19:11:36.76,1,5,"Sharts, Owen",680714,Right,IDA_CHU,1000092665,Left,MIS_PAD,Undefined,1,Top,0,3,1,Undefined,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.64546,-0.899632,-1.623289,2039.209278,158.254443,11:15,5.84673,1.77981,6.11194,-33.62018,5.52004,-1.77004,2.21283,0.13098,77.66644,-7.109227,-1.942481,0.45028,,,,,,,,,,,,0.51949,3.40784,-1.65438,50,5.75997,3.51421,-121.66901,-2.97013,0.78751,21.35255,-27.0082,IDA_CHU,MIS_PAD,MelaleucaField,Pioneer League,PIO,20240521-MelaleucaField-1,3d0383b0-17d8-11ef-ab2f-7369b7622ec5,83.70882,,,5.97902,,,,,,,6933e1d9-9ce5-4c01-8d2b-ec83379e44c8,2024-05-22,01:11:36.76,2024-05-21T19:11:36.7640000-06:00,2024-05-22T01:11:36.7640000Z,,v3,444,518,,"Barham, Robbie",,Undefined,IDA_CHU,1b8b7c7d-aff7-41dd-a09c-0604be1b8486,54.38709,-122.43651,10.67627,5.84928,-1.99934,-13.5041,-1.78019,3.48591,0.39376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-05-21,19:11:53.66,1,6,"Sharts, Owen",680714,Right,IDA_CHU,1000092665,Left,MIS_PAD,Undefined,1,Top,0,3,2,Undefined,Slider,InPlay,Undefined,GroundBall,Out,1,0,,84.34461,-0.331634,-1.995213,2069.937005,108.248683,9:30,5.79677,1.68534,5.91869,-36.06065,2.86075,-5.3152,2.48377,-0.60988,78.05227,-6.963787,-2.949534,0.44902,,,,,,,,,,,,2.22728,1.88055,-1.52249,50,5.74952,4.47779,-122.61061,-1.90662,3.41597,22.54203,-29.28989,IDA_CHU,MIS_PAD,MelaleucaField,Pioneer League,PIO,20240521-MelaleucaField-1,46f9de50-17d8-11ef-ab2f-7369b7622ec5,83.94382,,,6.29234,,,,,,,6933e1d9-9ce5-4c01-8d2b-ec83379e44c8,2024-05-22,01:11:53.66,2024-05-21T19:11:53.6640000-06:00,2024-05-22T01:11:53.6640000Z,,v3,444,518,,"Barham, Robbie",,Undefined,IDA_CHU,e4075aac-0398-4511-be44-da719a4e4bce,54.58042,-123.44985,11.27102,5.8002,-0.81616,-14.64494,-1.68683,4.35061,1.70799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-05-21,19:12:26.92,2,1,"Sharts, Owen",680714,Right,IDA_CHU,669716,Right,MIS_PAD,Undefined,1,Top,1,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.19114,-0.601978,-2.182108,1935.802993,176.721061,12:00,5.87459,1.79737,6.20268,-20.253,14.4278,-0.76484,3.63077,-0.2815,81.61147,-4.435115,-2.320017,0.423854,,,,,,,,,,,,-0.20681,7.96158,-1.63308,50,5.81903,4.96748,-129.53825,-1.95776,-0.3518,26.78286,-18.63129,IDA_CHU,MIS_PAD,MelaleucaField,Pioneer League,PIO,20240521-MelaleucaField-1,5adad3c0-17d8-11ef-ab2f-7369b7622ec5,88.92795,,,7.57967,,,,,,,6933e1d9-9ce5-4c01-8d2b-ec83379e44c8,2024-05-22,01:12:26.92,2024-05-21T19:12:26.9210000-06:00,2024-05-22T01:12:26.9210000Z,,v3,444,518,,"Barham, Robbie",,Undefined,IDA_CHU,d6f91e22-70c1-47ff-bc31-e055e92da4f0,54.29256,-130.42274,13.39143,5.87352,-1.34247,-9.31564,-1.79732,4.9791,-0.1759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-05-21,19:12:40.12,2,2,"Sharts, Owen",680714,Right,IDA_CHU,669716,Right,MIS_PAD,Undefined,1,Top,1,1,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.37547,-0.995897,-2.769894,2032.077654,176.18243,11:45,5.83283,1.7549,6.42692,-17.99773,15.99584,-1.00264,3.41651,-0.8765,82.46104,-4.413856,-2.951274,0.419633,,,,,,,,,,,,-0.1728,8.90532,-1.55719,50,5.75331,6.3239,-129.88582,-2.75133,-0.29806,24.71487,-16.81243,IDA_CHU,MIS_PAD,MelaleucaField,Pioneer League,PIO,20240521-MelaleucaField-1,62a2dcb0-17d8-11ef-ab2f-7369b7622ec5,89.82238,,,6.91443,,,,,,,6933e1d9-9ce5-4c01-8d2b-ec83379e44c8,2024-05-22,01:12:40.12,2024-05-21T19:12:40.1230000-06:00,2024-05-22T01:12:40.1230000Z,,v3,444,518,,"Barham, Robbie",,Undefined,IDA_CHU,d59211a6-fb6d-453e-a300-bd269c5a4b89,54.06951,-130.65787,12.35743,5.83105,-2.22613,-8.40621,-1.75489,6.33321,-0.14903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-05-21,19:12:54.55,2,3,"Sharts, Owen",680714,Right,IDA_CHU,669716,Right,MIS_PAD,Undefined,1,Top,1,2,0,Undefined,Slider,InPlay,Undefined,GroundBall,Out,1,0,,83.43134,-0.871536,-1.663186,2196.46268,97.431991,9:15,5.79111,1.70449,5.8505,-38.23278,2.11099,-6.2491,1.79483,-0.3621,76.47066,-7.904917,-2.784823,0.457151,67.92229,-52.868204,-50.015106,,,,,3.35479,3.35479,-13.722658,0.024102,2.72914,1.69291,-1.56559,50,5.69781,3.76117,-121.14391,-3.11202,4.03496,24.79689,-29.67113,IDA_CHU,MIS_PAD,MelaleucaField,Pioneer League,PIO,20240521-MelaleucaField-1,6b5545a0-17d8-11ef-ab2f-7369b7622ec5,82.45077,1.92002,,6.96068,,,,2.32486,1.92002,0.31807,6933e1d9-9ce5-4c01-8d2b-ec83379e44c8,2024-05-22,01:12:54.55,2024-05-21T19:12:54.5560000-06:00,2024-05-22T01:12:54.5560000Z,GroundBall,v3,444,518,,"Barham, Robbie",,Undefined,IDA_CHU,309dc62e-0c3f-46a4-9b9e-1083598963dc,54.64766,-122.09153,12.39845,5.79507,-1.97813,-14.83556,-1.70637,3.60698,2.01748,,2.32441,38.75855,,,,,,,,1.92095,-79.66085,,,,,,,,0.31861,-46.21538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
10,2024-05-21,19:13:28.13,3,1,"Sharts, Owen",680714,Right,IDA_CHU,1000115545,Right,MIS_PAD,Undefined,1,Top,2,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.81126,-3.236034,-2.680426,2030.743507,187.117696,12:15,5.87074,1.68521,6.24814,-17.28922,17.93584,2.09193,1.43912,-0.61427,80.99901,-6.531765,-2.303008,0.427167,,,,,,,,,,,,-1.88189,10.63934,-1.48694,50,5.62125,5.9447,-128.73064,-7.75734,-3.14064,28.08697,-14.41831,IDA_CHU,MIS_PAD,MelaleucaField,Pioneer League,PIO,20240521-MelaleucaField-1,7f4afb90-17d8-11ef-ab2f-7369b7622ec5,88.23823,,,7.81225,,,,,,,6933e1d9-9ce5-4c01-8d2b-ec83379e44c8,2024-05-22,01:13:28.13,2024-05-21T19:13:28.1390000-06:00,2024-05-22T01:13:28.1390000Z,,v3,444,518,,"Barham, Robbie",,Undefined,IDA_CHU,64b82053-8efb-441c-8d1b-b7c1a4e8d6bf,54.24924,-129.65444,14.04348,5.8686,-7.28311,-7.20916,-1.68416,6.048,-1.57032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
